2026-02-24 21:24:44,393 | INFO | weather-pipeline | Processing city: Ahmedabad
2026-02-24 21:24:44,660 | INFO | weather-pipeline | Processing city: Bangalore
2026-02-24 21:24:44,832 | INFO | weather-pipeline | Processing city: Chennai
2026-02-24 21:24:45,017 | INFO | weather-pipeline | Processing city: Delhi
2026-02-24 21:24:45,204 | INFO | weather-pipeline | Processing city: Hyderabad
2026-02-24 21:24:45,423 | INFO | weather-pipeline | Processing city: Jaipur
2026-02-24 21:24:45,595 | INFO | weather-pipeline | Processing city: Kolkata
2026-02-24 21:24:45,775 | INFO | weather-pipeline | Processing city: Mumbai
2026-02-24 21:24:45,959 | INFO | weather-pipeline | Processing city: Pune
2026-02-24 21:24:46,142 | INFO | weather-pipeline | Pipeline run 1 completed successfully
2026-02-24 21:26:15,045 | INFO | weather-pipeline | Processing city: Ahmedabad
2026-02-24 21:26:15,309 | INFO | weather-pipeline | Processing city: Bangalore
2026-02-24 21:26:15,504 | INFO | weather-pipeline | Processing city: Chennai
2026-02-24 21:26:15,682 | INFO | weather-pipeline | Processing city: Delhi
2026-02-24 21:26:15,860 | INFO | weather-pipeline | Processing city: Hyderabad
2026-02-24 21:26:16,036 | INFO | weather-pipeline | Processing city: Jaipur
2026-02-24 21:26:16,228 | INFO | weather-pipeline | Processing city: Kolkata
2026-02-24 21:26:16,420 | INFO | weather-pipeline | Processing city: Mumbai
2026-02-24 21:26:16,593 | INFO | weather-pipeline | Processing city: Pune
2026-02-24 21:26:16,791 | INFO | weather-pipeline | Pipeline run 2 completed successfully
2026-02-24 21:26:17,802 | INFO | weather-pipeline | Scheduler started
2026-02-24 21:26:17,812 | INFO | weather-pipeline | Running ETL for 9 cities
2026-02-24 21:26:17,828 | INFO | weather-pipeline | Processing city: Ahmedabad
2026-02-24 21:26:18,056 | INFO | weather-pipeline | Processing city: Bangalore
2026-02-24 21:26:18,267 | INFO | weather-pipeline | Processing city: Chennai
2026-02-24 21:26:18,473 | INFO | weather-pipeline | Processing city: Delhi
2026-02-24 21:26:18,687 | INFO | weather-pipeline | Processing city: Hyderabad
2026-02-24 21:26:18,914 | INFO | weather-pipeline | Processing city: Jaipur
2026-02-24 21:26:19,137 | INFO | weather-pipeline | Processing city: Kolkata
2026-02-24 21:26:19,341 | INFO | weather-pipeline | Processing city: Mumbai
2026-02-24 21:26:19,564 | INFO | weather-pipeline | Processing city: Pune
2026-02-24 21:26:19,841 | INFO | weather-pipeline | Pipeline run 3 completed successfully
2026-02-24 21:26:19,841 | INFO | weather-pipeline | Scheduled ETL job finished
2026-02-24 21:37:05,101 | INFO | weather-pipeline | Processing city: Mumbai
2026-02-24 21:37:05,264 | WARNING | weather-pipeline | City geo enrichment failed for Mumbai: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Mumbai&limit=1
2026-02-24 21:37:05,268 | INFO | weather-pipeline | City created: Mumbai (country=None, lat=None, lon=None)
2026-02-24 21:37:05,455 | INFO | weather-pipeline | Processing city: Delhi
2026-02-24 21:37:05,553 | WARNING | weather-pipeline | City geo enrichment failed for Delhi: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Delhi&limit=1
2026-02-24 21:37:05,558 | INFO | weather-pipeline | City created: Delhi (country=None, lat=None, lon=None)
2026-02-24 21:37:05,726 | INFO | weather-pipeline | Processing city: Bangalore
2026-02-24 21:37:05,812 | WARNING | weather-pipeline | City geo enrichment failed for Bangalore: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Bangalore&limit=1
2026-02-24 21:37:05,816 | INFO | weather-pipeline | City created: Bangalore (country=None, lat=None, lon=None)
2026-02-24 21:37:05,982 | INFO | weather-pipeline | Processing city: Chennai
2026-02-24 21:37:06,065 | WARNING | weather-pipeline | City geo enrichment failed for Chennai: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Chennai&limit=1
2026-02-24 21:37:06,069 | INFO | weather-pipeline | City created: Chennai (country=None, lat=None, lon=None)
2026-02-24 21:37:06,255 | INFO | weather-pipeline | Processing city: Kolkata
2026-02-24 21:37:06,353 | WARNING | weather-pipeline | City geo enrichment failed for Kolkata: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Kolkata&limit=1
2026-02-24 21:37:06,357 | INFO | weather-pipeline | City created: Kolkata (country=None, lat=None, lon=None)
2026-02-24 21:37:06,534 | INFO | weather-pipeline | Processing city: Hyderabad
2026-02-24 21:37:06,693 | WARNING | weather-pipeline | City geo enrichment failed for Hyderabad: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Hyderabad&limit=1
2026-02-24 21:37:06,696 | INFO | weather-pipeline | City created: Hyderabad (country=None, lat=None, lon=None)
2026-02-24 21:37:06,865 | INFO | weather-pipeline | Processing city: Pune
2026-02-24 21:37:06,958 | WARNING | weather-pipeline | City geo enrichment failed for Pune: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Pune&limit=1
2026-02-24 21:37:06,962 | INFO | weather-pipeline | City created: Pune (country=None, lat=None, lon=None)
2026-02-24 21:37:07,123 | INFO | weather-pipeline | Processing city: Ahmedabad
2026-02-24 21:37:07,228 | WARNING | weather-pipeline | City geo enrichment failed for Ahmedabad: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Ahmedabad&limit=1
2026-02-24 21:37:07,231 | INFO | weather-pipeline | City created: Ahmedabad (country=None, lat=None, lon=None)
2026-02-24 21:37:07,406 | INFO | weather-pipeline | Processing city: Jaipur
2026-02-24 21:37:07,508 | WARNING | weather-pipeline | City geo enrichment failed for Jaipur: 401 Client Error: Unauthorized for url: http://api.openweathermap.org/geo/1.0/direct?q=Jaipur&limit=1
2026-02-24 21:37:07,512 | INFO | weather-pipeline | City created: Jaipur (country=None, lat=None, lon=None)
2026-02-24 21:37:07,710 | INFO | weather-pipeline | Pipeline run 1 completed successfully
2026-02-24 21:37:08,659 | INFO | weather-pipeline | Scheduler started
2026-02-24 21:37:08,662 | INFO | weather-pipeline | Running ETL for 9 cities
2026-02-24 21:37:08,671 | INFO | weather-pipeline | Processing city: Ahmedabad
2026-02-24 21:37:08,894 | INFO | weather-pipeline | Processing city: Bangalore
2026-02-24 21:37:09,051 | INFO | weather-pipeline | Processing city: Chennai
2026-02-24 21:37:09,237 | INFO | weather-pipeline | Processing city: Delhi
2026-02-24 21:37:09,420 | INFO | weather-pipeline | Processing city: Hyderabad
2026-02-24 21:37:09,592 | INFO | weather-pipeline | Processing city: Jaipur
2026-02-24 21:37:09,765 | INFO | weather-pipeline | Processing city: Kolkata
2026-02-24 21:37:09,939 | INFO | weather-pipeline | Processing city: Mumbai
2026-02-24 21:37:10,135 | INFO | weather-pipeline | Processing city: Pune
2026-02-24 21:37:10,304 | INFO | weather-pipeline | Pipeline run 2 completed successfully
2026-02-24 21:37:10,304 | INFO | weather-pipeline | Scheduled ETL job finished
2026-02-24 21:41:24,079 | INFO | weather-pipeline | Processing city: Mumbai
2026-02-24 21:41:24,372 | INFO | weather-pipeline | Processing city: Delhi
2026-02-24 21:41:24,561 | INFO | weather-pipeline | Processing city: Bangalore
2026-02-24 21:41:24,758 | INFO | weather-pipeline | Processing city: Chennai
2026-02-24 21:41:24,975 | INFO | weather-pipeline | Processing city: Kolkata
2026-02-24 21:41:25,169 | INFO | weather-pipeline | Processing city: Hyderabad
2026-02-24 21:41:25,377 | INFO | weather-pipeline | Processing city: Pune
2026-02-24 21:41:25,546 | INFO | weather-pipeline | Processing city: Ahmedabad
2026-02-24 21:41:25,739 | INFO | weather-pipeline | Processing city: Jaipur
